transaction_id,customer_id,timestamp,category,amount_usd,payment_method,status
TXN-100044,CUST-83601,2025-12-09 01:09:21,Electronics,215.44,Bank Transfer,Approved
TXN-100045,CUST-79239,2026-03-11 22:52:36,Home & Kitchen,135.61,PayPal,Approved
TXN-100046,CUST-52597,2025-09-24 05:49:32,Beauty,84.01,Bank Transfer,Approved
TXN-100047,CUST-61720,2025-06-08 17:09:11,Home & Kitchen,295.18,Credit Card,Approved
TXN-100048,CUST-67908,2025-06-29 11:17:34,Beauty,129.19,PayPal,Approved
TXN-100049,CUST-63238,2026-02-12 11:25:36,Beauty,153.04,Credit Card,Approved
TXN-100050,CUST-67908,2025-11-25 12:18:31,Beauty,161.61,PayPal,Approved
TXN-100051,CUST-65616,2026-02-27 07:02:09,Electronics,98.14,Credit Card,Approved
TXN-100052,CUST-38795,2025-08-04 22:36:38,Books,32.34,PayPal,Approved
TXN-100053,CUST-27967,2025-09-03 08:03:34,Home & Kitchen,21.26,Credit Card,Approved
TXN-100054,CUST-52597,2025-08-09 14:09:16,Beauty,22.55,Apple Pay,Approved
TXN-100055,CUST-29177,2026-03-31 01:33:43,Electronics,1023.05,PayPal,Approved
TXN-100056,CUST-24290,2026-02-05 03:38:54,Books,29.76,Bank Transfer,Approved
TXN-100057,CUST-63952,2025-07-19 21:23:30,Home & Kitchen,311.45,PayPal,Approved
TXN-100058,CUST-60405,2026-02-13 08:32:10,Beauty,38.01,Apple Pay,Approved
TXN-100059,CUST-60755,2025-06-07 11:37:25,Beauty,35.35,Bank Transfer,Approved
TXN-100060,CUST-86119,2025-11-10 16:48:33,Electronics,846.01,Apple Pay,Approved
TXN-100061,CUST-25972,2025-08-26 06:06:59,Beauty,64.25,Credit Card,Approved
TXN-100062,CUST-73436,2026-02-27 14:17:42,Beauty,47.86,Bank Transfer,Declined
TXN-100063,CUST-37363,2026-02-10 19:49:50,Home & Kitchen,194.41,Bank Transfer,Approved
TXN-100064,CUST-86119,2026-01-29 02:12:43,Books,18.39,PayPal,Approved
TXN-100065,CUST-60405,2025-08-04 09:15:30,Beauty,27.16,Apple Pay,Approved
TXN-100066,CUST-75239,2025-06-08 23:48:55,Home & Kitchen,70.39,Apple Pay,Approved
TXN-100067,CUST-57068,2026-01-13 02:27:38,Electronics,858.84,Bank Transfer,Approved
TXN-100068,CUST-80252,2026-02-02 00:29:42,Electronics,232.93,Bank Transfer,Approved
TXN-100069,CUST-74568,2025-05-27 17:15:19,Home & Kitchen,296.33,Bank Transfer,Approved
TXN-100070,CUST-27160,2026-03-26 13:25:41,Electronics,1016.27,Apple Pay,Approved
TXN-100071,CUST-52497,2026-04-17 01:50:15,Books,14.8,Credit Card,Approved
TXN-100072,CUST-54528,2025-10-03 07:05:32,Home & Kitchen,116.22,Bank Transfer,Approved
TXN-100073,CUST-77611,2025-11-29 21:41:50,Beauty,24.52,Apple Pay,Approved
TXN-100074,CUST-56105,2026-01-17 02:31:52,Electronics,372.73,Apple Pay,Approved
TXN-100075,CUST-91877,2026-04-27 10:50:45,Apparel,48.66,Apple Pay,Approved
TXN-100076,CUST-97735,2026-01-16 14:20:52,Home & Kitchen,318.35,Credit Card,Approved
TXN-100077,CUST-29177,2025-11-28 16:12:48,Books,46.54,PayPal,Approved
TXN-100078,CUST-69556,2026-03-01 03:19:51,Electronics,106.9,Bank Transfer,Approved
TXN-100079,CUST-94067,2025-11-19 06:01:51,Apparel,102.01,Credit Card,Approved
TXN-100080,CUST-63952,2025-06-05 07:59:41,Beauty,34.19,Apple Pay,Approved
TXN-100081,CUST-28597,2025-12-10 05:22:08,Home & Kitchen,117.18,Apple Pay,Approved
TXN-100082,CUST-74568,2025-10-22 11:53:19,Apparel,55.61,Bank Transfer,Approved
TXN-100083,CUST-68561,2025-09-23 17:47:31,Apparel,101.83,Bank Transfer,Approved
TXN-100084,CUST-56411,2025-10-15 07:06:06,Apparel,76.15,Bank Transfer,Approved
TXN-100085,CUST-38041,2025-08-13 02:40:19,Apparel,88.95,PayPal,Approved
TXN-100086,CUST-49332,2025-09-15 05:58:09,Beauty,27.31,Apple Pay,Approved
TXN-100087,CUST-29177,2026-02-21 04:34:21,Beauty,48.41,Bank Transfer,Approved
TXN-100088,CUST-66342,2026-04-12 17:54:07,Books,39.83,Apple Pay,Approved
TXN-100089,CUST-13469,2025-11-07 00:52:34,Electronics,622.87,Apple Pay,Approved
TXN-100090,CUST-57156,2026-03-29 04:10:48,Beauty,110.55,PayPal,Approved
TXN-100091,CUST-35652,2025-07-09 03:57:43,Home & Kitchen,360.78,Bank Transfer,Approved
TXN-100092,CUST-68572,2025-11-28 17:00:51,Home & Kitchen,342.5,Credit Card,Approved
TXN-100093,CUST-57156,2026-02-20 05:34:43,Electronics,538.98,Bank Transfer,Approved
TXN-100094,CUST-12004,2026-03-05 14:54:58,Beauty,103.07,Bank Transfer,Approved
TXN-100095,CUST-37782,2025-10-12 18:22:06,Books,19.94,PayPal,Approved
TXN-100096,CUST-61720,2025-07-24 16:06:26,Beauty,194.66,Bank Transfer,Approved
TXN-100097,CUST-65616,2026-05-10 05:41:51,Beauty,157.6,PayPal,Approved
TXN-100098,CUST-24290,2026-01-01 20:43:01,Beauty,184.78,Apple Pay,Approved
TXN-100099,CUST-76355,2026-01-17 21:15:56,Apparel,99.57,Bank Transfer,Approved
TXN-100100,CUST-72200,2025-09-27 16:41:26,Electronics,164.36,PayPal,Approved
TXN-100101,CUST-68933,2025-07-04 15:13:39,Home & Kitchen,104.96,Credit Card,Approved
TXN-100102,CUST-59544,2025-12-18 15:51:41,Home & Kitchen,398.62,Apple Pay,Approved
TXN-100103,CUST-29543,2025-10-19 03:14:16,Apparel,79.17,PayPal,Approved
TXN-100104,CUST-95154,2026-04-14 10:03:28,Books,38.19,Credit Card,Approved
TXN-100105,CUST-25296,2026-01-21 13:41:09,Books,45.39,Credit Card,Approved
TXN-100106,CUST-28837,2026-02-24 07:14:39,Apparel,105.09,PayPal,Approved
TXN-100107,CUST-84752,2025-12-18 09:55:32,Electronics,850.2,Apple Pay,Approved
TXN-100108,CUST-92748,2026-02-23 07:46:04,Books,17.92,Credit Card,Approved
TXN-100109,CUST-89786,2025-07-12 05:45:35,Books,48.79,PayPal,Approved
TXN-100110,CUST-24290,2026-05-23 04:56:31,Books,18.86,Apple Pay,Approved
TXN-100111,CUST-52893,2025-12-22 10:38:14,Beauty,104.2,PayPal,Approved
TXN-100112,CUST-74500,2025-12-28 12:53:28,Books,46.42,PayPal,Approved
TXN-100113,CUST-96218,2025-08-01 14:38:00,Books,12.17,PayPal,Approved
TXN-100114,CUST-87276,2025-06-26 14:35:17,Electronics,866.34,Bank Transfer,Approved
TXN-100115,CUST-47090,2026-02-05 22:18:11,Home & Kitchen,298.44,PayPal,Declined
TXN-100116,CUST-17342,2026-02-13 14:17:56,Apparel,40.04,Bank Transfer,Approved
TXN-100117,CUST-18094,2026-01-22 19:35:34,Home & Kitchen,272.48,Apple Pay,Approved
TXN-100118,CUST-17342,2025-08-25 08:59:46,Books,16.77,Apple Pay,Approved
TXN-100119,CUST-43003,2025-11-18 03:29:26,Home & Kitchen,179.67,PayPal,Approved
TXN-100120,CUST-77663,2026-02-28 20:42:11,Home & Kitchen,312.12,Bank Transfer,Approved
TXN-100121,CUST-13097,2026-01-13 07:17:41,Electronics,861.04,Bank Transfer,Approved
TXN-100122,CUST-25296,2026-04-21 13:31:31,Home & Kitchen,158.41,Credit Card,Approved
TXN-100123,CUST-34409,2025-06-25 22:25:50,Books,19.92,Bank Transfer,Approved
TXN-100124,CUST-18426,2026-03-03 08:53:26,Books,11.39,Credit Card,Approved
TXN-100125,CUST-28837,2025-05-29 04:02:04,Apparel,115.88,Apple Pay,Approved
TXN-100126,CUST-96542,2026-01-07 15:15:35,Home & Kitchen,147.29,Credit Card,Approved
TXN-100127,CUST-83601,2025-12-05 10:21:50,Home & Kitchen,371.21,Credit Card,Approved
TXN-100128,CUST-57793,2025-06-20 09:27:44,Apparel,29.48,Bank Transfer,Approved
TXN-100129,CUST-71272,2025-10-24 08:10:37,Books,41.59,Bank Transfer,Approved
TXN-100130,CUST-23941,2026-01-23 07:22:00,Books,17.32,Apple Pay,Approved
TXN-100131,CUST-36458,2026-04-06 02:51:57,Apparel,96.98,Apple Pay,Approved
TXN-100132,CUST-49391,2025-06-21 12:05:37,Home & Kitchen,317.86,PayPal,Approved
TXN-100133,CUST-80252,2025-11-26 11:28:11,Apparel,48.39,Credit Card,Approved
TXN-100134,CUST-80402,2026-03-10 19:15:18,Beauty,113.48,Bank Transfer,Approved
TXN-100135,CUST-73927,2025-07-06 00:08:38,Electronics,1186.0,Credit Card,Approved
TXN-100136,CUST-16165,2026-04-15 08:05:43,Electronics,534.22,Bank Transfer,Declined
TXN-100137,CUST-93439,2026-05-02 05:29:34,Apparel,32.95,PayPal,Approved
TXN-100138,CUST-91967,2025-09-26 10:16:16,Beauty,170.93,Credit Card,Approved
TXN-100139,CUST-85287,2025-08-08 14:45:22,Home & Kitchen,131.64,Apple Pay,Approved
TXN-100140,CUST-28837,2025-07-16 10:38:19,Home & Kitchen,95.69,PayPal,Approved
TXN-100141,CUST-45928,2025-08-12 12:36:00,Apparel,52.98,PayPal,Approved
TXN-100142,CUST-23050,2025-10-24 07:31:44,Electronics,505.48,PayPal,Declined
TXN-100143,CUST-82179,2026-02-06 14:05:50,Electronics,801.33,Credit Card,Declined
TXN-100144,CUST-99391,2026-05-01 12:03:31,Books,45.31,Bank Transfer,Approved
TXN-100145,CUST-43073,2025-12-14 07:36:23,Home & Kitchen,35.34,Credit Card,Approved
TXN-100146,CUST-93358,2026-05-07 11:06:43,Apparel,96.07,PayPal,Approved
TXN-100147,CUST-88146,2025-10-27 05:36:54,Electronics,478.07,Bank Transfer,Approved
TXN-100148,CUST-45160,2026-01-19 11:31:58,Home & Kitchen,314.5,Credit Card,Approved
TXN-100149,CUST-52893,2025-05-24 09:13:14,Beauty,144.84,Credit Card,Approved
TXN-100150,CUST-36246,2025-10-24 05:40:03,Home & Kitchen,73.72,Apple Pay,Approved
TXN-100151,CUST-19584,2025-06-01 15:45:56,Beauty,149.12,Credit Card,Approved
TXN-100152,CUST-68424,2025-07-11 14:29:50,Home & Kitchen,175.42,Apple Pay,Approved
TXN-100153,CUST-60405,2026-03-15 17:04:34,Apparel,19.25,Bank Transfer,Approved
TXN-100154,CUST-40327,2025-07-05 03:08:10,Books,14.06,PayPal,Approved
TXN-100155,CUST-47527,2025-09-10 19:08:29,Beauty,27.32,Apple Pay,Approved
TXN-100156,CUST-80539,2025-12-02 10:29:56,Home & Kitchen,273.77,Credit Card,Approved
TXN-100157,CUST-24472,2025-12-02 04:33:11,Beauty,177.9,Credit Card,Approved
TXN-100158,CUST-24866,2025-06-04 10:58:37,Home & Kitchen,264.9,Bank Transfer,Approved
TXN-100159,CUST-89786,2025-07-03 16:14:22,Electronics,549.29,Credit Card,Approved
TXN-100160,CUST-36458,2026-01-26 11:15:13,Electronics,517.15,Bank Transfer,Approved
TXN-100161,CUST-72270,2025-10-19 04:07:12,Apparel,32.55,PayPal,Approved
TXN-100162,CUST-63221,2025-06-27 00:24:04,Books,13.56,Apple Pay,Approved
TXN-100163,CUST-69638,2025-11-15 03:03:25,Beauty,42.62,PayPal,Approved
TXN-100164,CUST-47841,2025-10-07 08:39:55,Apparel,139.94,Bank Transfer,Approved
TXN-100165,CUST-98433,2026-05-24 09:40:22,Apparel,55.72,Credit Card,Approved
TXN-100166,CUST-43956,2025-06-10 19:58:11,Books,22.58,Bank Transfer,Approved
TXN-100167,CUST-13097,2025-07-29 03:32:46,Beauty,140.76,PayPal,Approved
TXN-100168,CUST-85320,2025-06-20 14:43:18,Books,34.59,Bank Transfer,Approved
TXN-100169,CUST-35206,2025-12-11 16:06:00,Beauty,51.45,PayPal,Approved
TXN-100170,CUST-66342,2026-05-10 03:43:30,Home & Kitchen,66.76,PayPal,Approved
TXN-100171,CUST-18426,2026-03-04 08:31:50,Beauty,170.07,Apple Pay,Approved
TXN-100172,CUST-68561,2025-07-04 06:07:27,Books,33.98,Apple Pay,Approved
TXN-100173,CUST-82179,2025-12-07 09:44:33,Books,22.33,Bank Transfer,Approved
TXN-100174,CUST-52597,2025-10-02 01:37:53,Home & Kitchen,189.78,Credit Card,Approved
TXN-100175,CUST-52445,2026-05-16 06:43:10,Beauty,197.37,Bank Transfer,Approved
TXN-100176,CUST-71558,2026-02-06 13:32:54,Beauty,158.2,PayPal,Approved
TXN-100177,CUST-29177,2025-12-30 23:35:38,Books,26.01,Apple Pay,Approved
TXN-100178,CUST-68572,2025-08-26 00:56:05,Home & Kitchen,54.85,Credit Card,Approved
TXN-100179,CUST-18426,2025-10-30 19:29:38,Apparel,26.1,Credit Card,Approved
TXN-100180,CUST-95985,2025-12-02 16:35:33,Beauty,180.02,PayPal,Approved
TXN-100181,CUST-57793,2025-10-09 14:47:13,Electronics,1195.54,Credit Card,Approved
TXN-100182,CUST-25296,2025-12-16 09:30:27,Apparel,147.53,PayPal,Approved
TXN-100183,CUST-85119,2025-06-26 05:29:58,Apparel,23.84,Apple Pay,Approved
TXN-100184,CUST-89129,2025-10-24 23:23:14,Home & Kitchen,360.68,Bank Transfer,Approved
TXN-100185,CUST-87394,2026-05-19 18:31:43,Home & Kitchen,210.84,PayPal,Approved
TXN-100186,CUST-65399,2025-10-17 02:44:51,Home & Kitchen,254.03,Apple Pay,Approved
TXN-100187,CUST-19584,2025-11-25 02:55:41,Apparel,39.58,Apple Pay,Approved
TXN-100188,CUST-20694,2026-02-23 13:28:16,Home & Kitchen,360.26,Apple Pay,Approved
TXN-100189,CUST-31007,2026-03-17 00:34:27,Beauty,19.23,Bank Transfer,Approved
TXN-100190,CUST-17795,2026-02-17 07:06:24,Beauty,120.21,Credit Card,Approved
TXN-100191,CUST-55004,2025-10-10 13:48:17,Beauty,129.66,Apple Pay,Approved
TXN-100192,CUST-83601,2026-02-08 06:59:57,Books,49.62,Apple Pay,Approved
TXN-100193,CUST-17342,2025-08-05 05:41:46,Electronics,558.62,Credit Card,Approved
TXN-100194,CUST-77015,2026-01-04 16:50:51,Beauty,58.19,Apple Pay,Approved
TXN-100195,CUST-88388,2025-05-30 03:48:09,Electronics,909.19,Apple Pay,Approved
TXN-100196,CUST-94067,2025-08-02 15:39:53,Books,26.71,Credit Card,Approved
TXN-100197,CUST-23941,2025-07-27 06:26:20,Books,19.09,Credit Card,Approved
TXN-100198,CUST-95985,2025-09-29 22:21:49,Electronics,702.19,Apple Pay,Approved
TXN-100199,CUST-57615,2026-02-17 21:58:33,Apparel,70.79,PayPal,Approved
TXN-100200,CUST-89786,2025-05-31 22:31:10,Home & Kitchen,257.09,PayPal,Approved
TXN-100201,CUST-82016,2026-04-09 09:32:15,Apparel,110.51,Credit Card,Approved
TXN-100202,CUST-47527,2025-06-26 19:44:39,Apparel,132.62,Bank Transfer,Approved
TXN-100203,CUST-29177,2026-05-06 10:49:27,Home & Kitchen,387.51,Apple Pay,Approved
TXN-100204,CUST-15952,2026-05-05 22:40:55,Beauty,94.31,Bank Transfer,Approved
TXN-100205,CUST-67299,2026-01-03 18:36:35,Apparel,136.97,Credit Card,Approved
TXN-100206,CUST-74568,2026-03-27 07:19:18,Apparel,47.09,Credit Card,Approved
TXN-100207,CUST-82016,2026-05-02 23:36:01,Beauty,114.68,PayPal,Approved
TXN-100208,CUST-68208,2025-11-03 21:51:35,Apparel,84.96,Bank Transfer,Approved
TXN-100209,CUST-24822,2026-04-01 22:07:27,Beauty,43.18,Apple Pay,Approved
TXN-100210,CUST-58415,2025-06-06 01:14:16,Electronics,1193.17,Bank Transfer,Approved
TXN-100211,CUST-21047,2026-03-05 12:37:56,Beauty,11.21,Bank Transfer,Approved
TXN-100212,CUST-43003,2026-01-16 01:38:51,Books,17.02,Apple Pay,Declined
TXN-100213,CUST-24290,2026-03-03 22:50:00,Electronics,191.76,Apple Pay,Approved
TXN-100214,CUST-67098,2025-07-17 20:29:09,Electronics,355.89,Bank Transfer,Approved
TXN-100215,CUST-85119,2025-06-23 18:14:57,Beauty,194.66,PayPal,Approved
TXN-100216,CUST-65616,2025-12-01 09:21:24,Beauty,12.89,PayPal,Approved
TXN-100217,CUST-36254,2025-12-31 19:26:29,Apparel,142.53,Apple Pay,Approved
TXN-100218,CUST-25296,2026-01-30 09:12:56,Books,23.14,Bank Transfer,Approved
TXN-100219,CUST-28829,2025-07-28 17:56:04,Beauty,142.55,Bank Transfer,Approved
TXN-100220,CUST-71272,2025-12-17 17:38:05,Apparel,92.0,PayPal,Approved
TXN-100221,CUST-80252,2026-05-13 04:16:20,Beauty,121.21,PayPal,Approved
TXN-100222,CUST-55453,2025-08-24 18:07:18,Electronics,80.94,PayPal,Approved
TXN-100223,CUST-14314,2026-03-19 17:31:42,Apparel,109.6,PayPal,Approved
TXN-100224,CUST-66513,2026-05-10 06:00:52,Electronics,851.56,Credit Card,Approved
TXN-100225,CUST-73503,2026-01-25 01:22:34,Beauty,154.74,Credit Card,Approved
TXN-100226,CUST-49458,2025-11-01 03:28:15,Books,14.28,Credit Card,Approved
TXN-100227,CUST-18094,2025-10-24 02:36:33,Electronics,1141.64,Credit Card,Approved
TXN-100228,CUST-67908,2025-11-11 02:26:50,Home & Kitchen,201.3,PayPal,Approved
TXN-100229,CUST-77015,2025-07-08 21:13:34,Home & Kitchen,147.88,Apple Pay,Approved
TXN-100230,CUST-28837,2025-06-20 14:07:45,Home & Kitchen,38.4,Apple Pay,Approved
TXN-100231,CUST-89437,2025-09-03 11:53:07,Beauty,105.71,Credit Card,Approved
TXN-100232,CUST-54997,2025-07-26 17:31:26,Books,11.25,Credit Card,Approved
TXN-100233,CUST-14314,2026-04-17 20:39:39,Books,38.19,PayPal,Approved
TXN-100234,CUST-67098,2025-10-03 14:41:00,Electronics,710.72,Bank Transfer,Approved
TXN-100235,CUST-52445,2026-04-09 01:55:07,Beauty,48.39,Credit Card,Approved
TXN-100236,CUST-99391,2025-12-15 23:38:47,Home & Kitchen,206.51,PayPal,Approved
TXN-100237,CUST-12004,2026-04-17 07:20:02,Books,33.7,Apple Pay,Approved
TXN-100238,CUST-90329,2026-04-16 19:38:24,Apparel,53.3,PayPal,Approved
TXN-100239,CUST-24823,2026-02-08 02:26:25,Apparel,29.84,Credit Card,Approved
TXN-100240,CUST-27967,2025-11-04 02:52:45,Beauty,159.52,Apple Pay,Approved
TXN-100241,CUST-74680,2025-08-21 08:28:19,Books,47.14,Credit Card,Approved
TXN-100242,CUST-56354,2025-12-16 09:25:50,Electronics,477.74,Bank Transfer,Approved
TXN-100243,CUST-54528,2025-09-15 04:16:29,Beauty,105.23,PayPal,Approved
TXN-100244,CUST-10920,2026-03-22 21:48:47,Books,15.08,Credit Card,Approved
TXN-100245,CUST-15661,2025-06-08 22:26:29,Beauty,72.07,Bank Transfer,Approved
TXN-100246,CUST-61535,2026-01-11 21:04:33,Beauty,150.98,Bank Transfer,Approved
TXN-100247,CUST-97484,2025-09-25 03:57:07,Home & Kitchen,240.08,Bank Transfer,Approved
TXN-100248,CUST-63221,2025-10-24 18:29:30,Apparel,83.54,PayPal,Approved
TXN-100249,CUST-18676,2025-12-08 10:12:30,Apparel,146.59,Apple Pay,Approved
TXN-100250,CUST-23943,2026-05-18 03:16:20,Apparel,59.29,Credit Card,Approved
TXN-100251,CUST-24320,2026-05-22 04:41:19,Electronics,274.75,PayPal,Approved
TXN-100252,CUST-82124,2025-10-01 19:12:21,Home & Kitchen,298.65,PayPal,Approved
TXN-100253,CUST-52893,2026-05-08 23:56:10,Electronics,372.93,Bank Transfer,Approved
TXN-100254,CUST-18094,2026-05-08 09:58:16,Electronics,508.87,PayPal,Approved
TXN-100255,CUST-88790,2025-12-02 11:44:04,Home & Kitchen,196.05,Bank Transfer,Approved
TXN-100256,CUST-99391,2025-12-16 04:18:12,Apparel,137.58,Bank Transfer,Approved
TXN-100257,CUST-51851,2025-08-04 11:10:12,Apparel,105.17,PayPal,Approved
TXN-100258,CUST-20694,2026-03-08 14:05:27,Apparel,101.61,Apple Pay,Approved
TXN-100259,CUST-12562,2025-11-17 15:12:04,Electronics,1078.96,Bank Transfer,Approved
TXN-100260,CUST-67098,2026-02-26 16:04:12,Apparel,48.76,Bank Transfer,Approved
TXN-100261,CUST-79239,2026-04-26 00:41:11,Beauty,173.12,PayPal,Approved
TXN-100262,CUST-73436,2026-01-07 01:42:06,Home & Kitchen,315.71,Bank Transfer,Approved
TXN-100263,CUST-63238,2026-02-02 04:30:39,Electronics,93.87,PayPal,Approved
TXN-100264,CUST-21047,2025-12-10 18:58:20,Apparel,85.09,Bank Transfer,Approved
TXN-100265,CUST-10743,2025-07-11 04:31:11,Apparel,111.83,Apple Pay,Approved
TXN-100266,CUST-47841,2025-11-08 00:24:26,Home & Kitchen,175.93,PayPal,Approved
TXN-100267,CUST-85119,2025-06-16 03:20:33,Apparel,67.99,Credit Card,Approved
TXN-100268,CUST-79792,2025-07-29 07:21:41,Beauty,77.54,Apple Pay,Approved
TXN-100269,CUST-77663,2026-05-17 11:25:10,Books,12.46,Bank Transfer,Approved
TXN-100270,CUST-58415,2025-10-10 05:00:59,Home & Kitchen,240.47,Apple Pay,Approved
TXN-100271,CUST-55026,2025-07-12 16:29:33,Books,47.6,PayPal,Approved
TXN-100272,CUST-60772,2025-10-30 05:35:16,Books,28.48,Credit Card,Approved
TXN-100273,CUST-29177,2025-06-15 05:52:12,Apparel,78.34,PayPal,Approved
TXN-100274,CUST-24822,2026-01-01 01:07:50,Apparel,62.67,Bank Transfer,Approved
TXN-100275,CUST-18770,2025-08-15 17:15:50,Home & Kitchen,308.76,Bank Transfer,Approved
TXN-100276,CUST-99764,2025-08-11 18:15:27,Apparel,51.1,Apple Pay,Approved
TXN-100277,CUST-38041,2026-01-11 23:01:12,Apparel,80.01,Apple Pay,Approved
TXN-100278,CUST-96745,2026-04-27 07:32:03,Apparel,103.34,Bank Transfer,Approved
TXN-100279,CUST-38041,2025-05-29 07:12:42,Beauty,131.09,Apple Pay,Approved
TXN-100280,CUST-90914,2026-02-09 11:40:01,Home & Kitchen,344.69,Apple Pay,Approved
TXN-100281,CUST-33024,2025-12-22 21:54:03,Apparel,86.64,Credit Card,Approved
TXN-100282,CUST-52597,2025-11-18 04:16:08,Electronics,291.21,Apple Pay,Approved
TXN-100283,CUST-55004,2025-10-25 05:29:06,Beauty,29.29,PayPal,Approved
TXN-100284,CUST-95946,2025-05-28 09:22:26,Books,23.86,Bank Transfer,Approved
TXN-100285,CUST-28187,2025-09-29 19:21:30,Beauty,41.9,Credit Card,Approved
TXN-100286,CUST-66083,2025-12-01 11:18:44,Beauty,159.73,PayPal,Approved
TXN-100287,CUST-84752,2025-09-23 20:24:50,Apparel,86.66,Bank Transfer,Approved
TXN-100288,CUST-66083,2026-05-22 09:32:38,Electronics,688.32,PayPal,Approved
TXN-100289,CUST-67908,2025-09-25 13:37:22,Apparel,78.89,Bank Transfer,Approved
TXN-100290,CUST-18770,2026-03-29 04:33:55,Apparel,109.56,PayPal,Approved
TXN-100291,CUST-10743,2026-03-16 09:17:17,Beauty,173.95,Apple Pay,Approved
TXN-100292,CUST-18770,2026-03-10 12:30:09,Beauty,104.55,Bank Transfer,Approved
TXN-100293,CUST-34398,2025-11-19 23:56:36,Books,26.75,Credit Card,Approved
TXN-100294,CUST-35206,2025-11-22 17:35:26,Home & Kitchen,261.73,Credit Card,Approved
TXN-100295,CUST-92748,2026-03-28 10:36:01,Home & Kitchen,327.27,Bank Transfer,Approved
